"Libellé";"Indice de prix de production de l'industrie française pour les marchés extérieurs − CPF 10.5 − Produits laitiers ";"Codes"
"idBank";"010535221";""
"Dernière mise à jour";"28/04/2023 08:45";""
"Période";"";""
"2023-03";"144.3";"P"
"2023-02";"147.0";"P"
"2023-01";"150.5";"P"
"2022-12";"149.3";"A"
"2022-11";"150.2";"A"
"2022-10";"146.0";"A"
"2022-09";"151.0";"A"
"2022-08";"152.4";"A"
"2022-07";"149.4";"A"
"2022-06";"139.5";"A"
"2022-05";"135.9";"A"
"2022-04";"129.5";"A"
"2022-03";"124.4";"A"
"2022-02";"124.5";"A"
"2022-01";"120.0";"A"
"2021-12";"115.7";"A"
"2021-11";"115.2";"A"
"2021-10";"114.9";"A"
"2021-09";"114.4";"A"
"2021-08";"115.2";"A"
"2021-07";"112.3";"A"
"2021-06";"109.2";"A"
"2021-05";"109.1";"A"
"2021-04";"108.9";"A"
"2021-03";"107.8";"A"
"2021-02";"107.4";"A"
"2021-01";"106.6";"A"
"2020-12";"107.3";"A"
"2020-11";"107.8";"A"
"2020-10";"107.5";"A"
"2020-09";"108.1";"A"
"2020-08";"109.0";"A"
"2020-07";"110.0";"A"
"2020-06";"109.1";"A"
"2020-05";"113.4";"A"
"2020-04";"112.9";"A"
"2020-03";"111.4";"A"
"2020-02";"109.7";"A"
"2020-01";"109.6";"A"
"2019-12";"108.5";"A"
"2019-11";"110.5";"A"
"2019-10";"109.0";"A"
"2019-09";"109.7";"A"
"2019-08";"109.4";"A"
"2019-07";"108.1";"A"
"2019-06";"111.0";"A"
"2019-05";"108.4";"A"
"2019-04";"107.4";"A"
"2019-03";"106.5";"A"
"2019-02";"105.6";"A"
"2019-01";"105.1";"A"
"2018-12";"105.7";"A"
"2018-11";"108.2";"A"
"2018-10";"107.5";"A"
"2018-09";"108.5";"A"
"2018-08";"105.7";"A"
"2018-07";"105.7";"A"
"2018-06";"104.2";"A"
"2018-05";"102.3";"A"
"2018-04";"100.3";"A"
"2018-03";"99.7";"A"
"2018-02";"101.7";"A"
"2018-01";"102.1";"A"
"2017-12";"103.5";"A"
"2017-11";"108.0";"A"
"2017-10";"109.6";"A"
"2017-09";"108.1";"A"
"2017-08";"108.5";"A"
"2017-07";"107.1";"A"
"2017-06";"105.3";"A"
"2017-05";"105.0";"A"
"2017-04";"105.5";"A"
"2017-03";"105.5";"A"
"2017-02";"105.9";"A"
"2017-01";"106.5";"A"
"2016-12";"103.3";"A"
"2016-11";"98.6";"A"
"2016-10";"96.6";"A"
"2016-09";"94.3";"A"
"2016-08";"92.8";"A"
"2016-07";"92.0";"A"
"2016-06";"92.9";"A"
"2016-05";"93.8";"A"
"2016-04";"93.0";"A"
"2016-03";"96.3";"A"
"2016-02";"96.0";"A"
"2016-01";"97.2";"A"
"2015-12";"96.3";"A"
"2015-11";"97.4";"A"
"2015-10";"97.7";"A"
"2015-09";"99.3";"A"
"2015-08";"100.5";"A"
"2015-07";"101.5";"A"
"2015-06";"101.4";"A"
"2015-05";"101.2";"A"
"2015-04";"100.7";"A"
"2015-03";"102.4";"A"
"2015-02";"100.5";"A"
"2015-01";"101.2";"A"
"2014-12";"99.2";"A"
"2014-11";"100.1";"A"
"2014-10";"100.3";"A"
"2014-09";"99.8";"A"
"2014-08";"99.8";"A"
"2014-07";"100.0";"A"
"2014-06";"100.5";"A"
"2014-05";"99.7";"A"
"2014-04";"99.5";"A"
"2014-03";"98.4";"A"
"2014-02";"97.4";"A"
"2014-01";"96.4";"A"
"2013-12";"94.8";"A"
"2013-11";"94.7";"A"
"2013-10";"96.3";"A"
"2013-09";"96.6";"A"
"2013-08";"96.2";"A"
"2013-07";"95.3";"A"
"2013-06";"93.8";"A"
"2013-05";"93.1";"A"
"2013-04";"90.9";"A"
"2013-03";"90.9";"A"
"2013-02";"90.7";"A"
"2013-01";"91.0";"A"
"2012-12";"88.9";"A"
"2012-11";"88.8";"A"
"2012-10";"87.2";"A"
"2012-09";"86.2";"A"
"2012-08";"86.9";"A"
"2012-07";"85.6";"A"
"2012-06";"86.4";"A"
"2012-05";"87.6";"A"
"2012-04";"87.5";"A"
"2012-03";"87.4";"A"
"2012-02";"87.7";"A"
"2012-01";"86.2";"A"
"2011-12";"86.8";"A"
"2011-11";"85.9";"A"
"2011-10";"86.0";"A"
"2011-09";"85.6";"A"
"2011-08";"86.4";"A"
"2011-07";"87.6";"A"
"2011-06";"85.8";"A"
"2011-05";"84.1";"A"
"2011-04";"83.7";"A"
"2011-03";"79.6";"A"
"2011-02";"81.3";"A"
"2011-01";"79.0";"A"
"2010-12";"78.3";"A"
"2010-11";"80.1";"A"
"2010-10";"80.2";"A"
"2010-09";"78.0";"A"
"2010-08";"78.5";"A"
"2010-07";"77.8";"A"
"2010-06";"77.2";"A"
"2010-05";"75.8";"A"
"2010-04";"76.4";"A"
"2010-03";"75.3";"A"
"2010-02";"75.8";"A"
"2010-01";"73.7";"A"
"2009-12";"71.8";"A"
"2009-11";"68.8";"A"
"2009-10";"68.7";"A"
"2009-09";"70.2";"A"
"2009-08";"69.4";"A"
"2009-07";"67.4";"A"
"2009-06";"68.9";"A"
"2009-05";"66.3";"A"
"2009-04";"67.3";"A"
"2009-03";"67.4";"A"
"2009-02";"69.3";"A"
"2009-01";"70.4";"A"
"2008-12";"71.3";"A"
"2008-11";"73.0";"A"
"2008-10";"73.8";"A"
